country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Saudi Arabia,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Senegal,39.5,39.6,39.8,39.9,40.1,40.2,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3
Serbia,30.1,28.6,29.5,31.8,33.1,35.4,36.4,36.3,35.2,35.1,34.1,34.1,34.1,34.1
Seychelles,43.2,43.6,44.1,44.8,45.5,46,46.4,46.7,46.8,46.8,46.8,46.8,46.8,46.8
Sierra Leone,37.5,36.7,35.8,35.1,34.6,34.2,34,34,34,34,34,34,34,34
Singapore,42.5,42.6,42.7,42.5,42.2,42,41.7,41.4,40.9,40.9,40.9,40.9,40.9,40.9
Slovak Republic,27.1,26.7,26.7,26.6,26.9,26.8,26.7,26.7,26.7,26.4,26.5,26.5,26.5,26.5
Slovenia,24.4,24.4,24.5,24.8,25.3,25.5,25.6,25.7,25.6,25.5,25.4,25.4,25.4,25.4
Solomon Islands,43.8,42.7,41.6,40.4,39.3,38.4,37.7,37.3,37.1,37.1,37.1,37.1,37.1,37.1
Somalia,47.8,47.9,48,48,48,48,48,48,48,48,48,48,48,48
South Africa,63.9,63.6,63.4,63.3,63.2,63.2,63.2,63.1,63.1,63,63,63,63,63
South Korea,32,32,32.1,32,31.8,31.7,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6
South Sudan,45.3,45.3,45.3,45.3,45.3,45,45,45,45,45,45,45,45,45
Spain,33.9,34.4,34.8,35.1,35.5,35.7,35.9,36,36.2,36.2,36.2,36.2,36.2,36.2
Sri Lanka,39.6,38.7,38.1,37.7,37.8,38.1,38.7,39.2,39.6,39.7,39.8,39.8,39.8,39.8
St. Kitts and Nevis,40,40,40,40,40,40,40,40,40,40,40,40,40,40
St. Lucia,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6
St. Vincent and the Grenadines,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Sudan,35.5,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4
Suriname,60.1,60.4,60.6,60.8,60.9,61,61,61,61,61,61,61,61,61
Sweden,27.1,27.3,27.6,27.7,27.8,28,28.3,28.6,28.8,28.9,29,29,29,29
Switzerland,33.7,33.5,33,32.5,32.2,32.2,32.1,32.2,32.4,32.4,32.3,32.3,32.3,32.3
Syria,35.5,35.4,35.3,35.3,35.3,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2
Tajikistan,32,31.7,31.5,31.6,31.9,32.4,32.9,33.4,33.7,33.9,34,34,34,34
Tanzania,39.7,39.6,39.3,38.8,38.4,38.1,37.9,37.8,37.8,37.8,37.8,37.8,37.8,37.8
Thailand,40.7,40.2,39.3,39.2,38.7,38.2,37.5,37.2,36.6,36.2,36,36,36,36
Timor-Leste,28.7,28.2,28.1,28.2,28.3,28.4,28.5,28.6,28.6,28.7,28.7,28.7,28.7,28.7
Togo,43.2,43.7,44.5,45,45.1,45,44.5,43.9,43.5,43.2,43.1,43.1,43.1,43.1
Tonga,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Trinidad and Tobago,41.2,41.2,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
Tunisia,37.4,37,36.6,36.3,36,35.9,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8
Turkey,39.7,39,39.1,39.4,39.6,40.1,40.9,41.3,41.6,41.9,42.1,41.9,41.9,41.9
Turkmenistan,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
Tuvalu,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1
Uganda,43.5,43.6,43.6,43.4,42.9,42.4,41.9,41.7,41.9,42.2,42.5,42.7,42.8,42.8
Ukraine,27.6,26.7,25.7,25.2,24.8,24.5,24.7,24.8,24.8,24.9,25.1,25,25,25
United Arab Emirates,40,40,40,40,40,40,40,40,40,40,40,40,40,40
United Kingdom,34.6,34.6,34.3,33.7,33.5,33.4,33.2,33.2,33.4,33.4,33.2,33.2,33.2,33.2
United States,40.8,40.8,40.7,40.7,40.7,40.8,41,41.2,41.3,41.4,41.5,41.5,41.5,41.5
Uruguay,45.8,45.5,44.8,43.5,42.6,41.5,40.6,40.1,40.1,39.9,39.8,39.7,39.7,39.7
Uzbekistan,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Vanuatu,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6
Venezuela,48,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9
Vietnam,36.1,36.7,37.1,37.1,37,36.5,35.6,35.2,35.1,35.1,35.2,35.3,35.3,35.3
Yemen,35,35.2,35.5,35.7,36,36.2,36.4,36.6,36.7,36.7,36.7,36.7,36.7,36.7
Zambia,54.7,55,55.3,55.6,55.9,56.2,56.5,56.8,57,57.1,57.1,57.1,57.1,57.1
Zimbabwe,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2
